step,rh_FFJ1,rh_FFJ2
769,3.197943,0.000000
770,2.962700,0.000000
771,3.160651,0.000000
772,3.001360,0.000000
773,3.166786,0.000000
774,3.376984,0.000000
775,3.252069,0.000000
776,3.488984,0.000000
777,3.890179,0.000000
778,4.311029,0.000000
779,4.246744,0.000000
780,4.266543,0.000000
781,3.238237,0.000000
782,3.912854,0.000000
783,3.133334,0.000000
784,2.290877,0.000000
785,2.129989,0.000000
786,2.553695,0.000000
787,2.567178,0.000000
788,2.257584,0.000000
789,2.072438,0.000000
790,2.565652,0.000000
791,2.276170,0.000000
792,2.086971,0.000000
793,1.863556,0.000000
794,1.964478,0.000000
795,1.946936,0.000000
796,2.345953,0.000000
797,2.433761,0.000000
798,2.640687,0.000000
799,2.460841,0.000000
800,2.321881,0.000000
801,1.846001,0.000000
802,1.529025,0.000000
803,1.634573,0.000000
804,1.012986,0.000000
805,1.211223,0.000000
806,1.340227,0.000000
807,0.970073,0.000000
808,0.971587,0.000000
809,1.187285,0.000000
810,1.408627,0.000000
811,1.145759,0.000000
812,1.265124,0.000000
813,1.892427,0.000000
814,2.366628,0.000000
815,2.189633,0.000000
816,2.379230,0.000000
817,3.269354,0.000000
818,3.383076,0.000000
819,3.522230,0.000000
820,4.166753,0.000000
821,3.515591,0.000000
822,4.072596,0.000000
823,4.793754,0.000000
824,5.315416,0.000000
825,4.614157,0.000000
826,4.995359,0.000000
827,5.265626,0.000000
828,6.143555,0.000000
829,7.007748,0.000000
830,7.304962,0.000000
831,7.206167,0.000000
832,6.223506,0.000000
833,6.891201,0.000000
834,6.580835,0.000000
835,5.707294,0.000000
836,5.699284,0.000000
837,5.634690,0.000000
838,5.554062,0.000000
839,4.735411,0.000000
840,4.010196,0.000000
841,4.738659,0.000000
842,3.904060,0.000000
843,3.513823,0.000000
844,3.286643,0.000000
845,2.713513,0.000000
846,2.435114,0.000000
847,1.928451,0.000000
848,2.119877,0.000000
849,1.349337,0.000000
850,0.744319,0.000000
851,0.342249,0.000000
852,-0.144294,0.000000
853,-0.021752,0.000000
854,-0.385860,-0.000000
855,-0.743736,-0.000000
856,-1.389900,-0.000000
857,-1.512044,-0.000000
858,-1.795295,-0.000000
859,-2.161792,-0.000000
860,-2.192785,-0.000000
861,-2.089348,-0.000000
862,-1.904498,-0.000000
863,-1.813432,-0.000000
864,-1.915777,-0.000000
865,-2.070930,-0.000000
866,-1.731970,-0.000000
867,-1.595738,-0.000000
868,-1.432465,-0.000000
869,-1.015830,-0.000000
870,-0.880325,-0.000000
871,-0.308161,-0.000000
872,-0.221056,-0.000000
873,-0.122811,-0.000000
874,0.344352,-0.000000
875,0.674186,-0.000000
876,1.185712,-0.000000
877,1.553964,-0.000000
878,2.390128,-0.000000
879,2.815731,0.000000
880,3.625960,0.000000
881,4.102733,0.000000
882,3.952646,0.000000
883,4.226286,0.000000
884,4.488037,0.000000
885,5.467308,0.000000
886,5.856578,0.000000
887,6.349977,0.000000
888,6.129486,0.000000
889,5.995276,-0.000000
890,5.306625,-0.000000
891,4.488246,-0.000000
892,3.726247,-0.000000
893,2.426362,-0.000000
894,1.508853,-0.000000
895,0.249921,-0.000000
896,-0.009493,-0.000000
897,-0.207761,-0.000000
898,-0.418788,-0.000000
899,-0.295832,-0.000000
900,-0.891792,-0.000000
901,-1.167895,-0.000000
902,-1.567718,-0.000000
903,-2.141670,-0.000000
904,-2.569706,-0.000000
905,-2.118005,-0.000000
906,-2.431408,-0.000000
907,-2.666008,-0.000000
908,-2.961471,-0.000000
909,-2.436614,-0.000000
910,-2.700422,-0.000000
911,-3.000220,-0.000000
912,-2.682624,-0.000000
913,-1.087288,-0.000000
914,-1.256493,-0.000000
915,-1.194532,-0.000000
916,-1.314123,-0.000000
917,-1.223942,-0.000000
918,-0.851813,-0.000000
919,0.403404,-0.000000
920,1.162604,-0.000000
921,0.887159,-0.000000
922,1.572367,0.000000
923,2.062515,0.000000
924,2.542880,0.000000
925,2.801749,0.000000
926,2.711803,0.000000
927,3.455294,0.000000
928,3.694271,0.000000
929,3.402823,0.000000
930,3.825116,0.000000
931,3.892022,0.000000
932,3.896997,0.000000
933,3.801016,0.000000
934,4.485012,0.000000
935,4.852517,0.000000
936,4.743536,0.000000
937,4.787822,0.000000
938,5.116870,0.000000
939,5.161567,0.000000
940,6.289885,0.000000
941,7.116097,0.000000
942,7.018134,0.000000
943,7.015335,0.000000
944,6.567302,0.000000
945,6.931297,0.000000
946,7.011462,0.000000
947,7.085633,0.000000
948,6.297308,0.000000
949,5.471081,0.000000
950,4.536500,0.000000
951,3.694540,0.000000
952,2.843446,0.000000
953,2.317917,0.000000
954,2.204450,0.000000
955,2.901220,0.000000
956,3.168027,0.000000
957,2.713493,0.000000
958,3.298471,0.000000
959,3.462100,0.000000
960,3.309855,0.000000
961,3.572322,0.000000
962,3.261349,0.000000
963,2.995112,0.000000
964,3.055146,0.000000
965,2.762318,0.000000
966,2.470465,0.000000
967,2.280519,0.000000
968,2.441686,0.000000
969,2.560419,0.000000
970,2.336934,0.000000
971,2.369837,0.000000
972,1.876458,0.000000
973,1.616024,0.000000
974,1.566611,0.000000
975,1.622861,0.000000
976,2.234275,0.000000
977,2.400344,0.000000
978,2.660586,0.000000
979,3.150779,0.000000
980,3.319856,0.000000
981,3.225226,0.000000
982,3.704164,0.000000
983,4.748762,0.000000
984,5.112764,0.000000
985,5.425639,0.000000
986,6.110146,0.000000
987,8.182640,0.000000
988,9.040304,0.000000
989,8.487779,0.000000
990,7.829693,0.000000
991,7.264891,0.000000
992,9.014091,0.000000
993,7.561149,0.000000
994,8.705830,0.000000
995,8.949305,0.000000
996,8.709929,0.000000
997,7.817654,0.000000
998,7.477791,0.000000
999,6.250015,0.000000
1000,5.566811,0.000000
1001,4.493891,0.000000
1002,3.403232,0.000000
1003,3.472576,0.000000
1004,2.615815,0.000000
1005,2.139008,0.000000
1006,1.821424,0.000000
1007,1.246776,-0.000000
1008,1.042451,-0.000000
1009,1.150689,-0.000000
1010,0.726375,-0.000000
1011,0.791330,-0.000000
1012,-0.428130,-0.000000
1013,-0.411789,-0.000000
1014,-0.973606,-0.000000
1015,-0.717873,-0.000000
1016,-1.030925,-0.000000
1017,-1.556026,-0.000000
1018,-0.659826,-0.000000
1019,-0.876314,-0.000000
1020,-0.980944,-0.000000
1021,-1.580349,-0.000000
1022,-1.435470,-0.000000
1023,-1.092055,-0.000000
1024,-1.251222,-0.000000
1025,-1.175838,-0.000000
1026,-1.132136,-0.000000
1027,-1.191004,-0.000000
1028,-1.276346,-0.000000
1029,-0.865898,-0.000000
1030,-1.228283,-0.000000
1031,-0.728960,-0.000000
1032,-0.775387,-0.000000
1033,-0.804203,-0.000000
1034,-0.759019,-0.000000
1035,-1.099140,-0.000000
1036,-1.120581,-0.000000
1037,-1.280759,-0.000000
1038,-1.203863,-0.000000
1039,-1.141361,-0.000000
1040,-1.167300,-0.000000
1041,-1.105979,-0.000000
1042,-0.853077,-0.000000
1043,-0.916307,-0.000000
1044,-1.087397,-0.000000
1045,-1.347717,-0.000000
1046,-1.214927,-0.000000
1047,-1.755802,-0.000000
1048,-1.726498,-0.000000
1049,-1.959111,-0.000000
1050,-2.116736,-0.000000
1051,-2.040838,-0.000000
1052,-2.078113,-0.000000
1053,-1.700877,-0.000000
1054,-1.960977,-0.000000
1055,-0.963643,-0.000000
1056,0.406879,-0.000000
1057,-0.258156,-0.000000
1058,-0.539796,-0.000000
1059,0.241913,-0.000000
1060,1.147102,-0.000000
1061,0.951896,-0.000000
1062,0.429059,-0.000000
1063,0.988119,-0.000000
1064,0.115996,-0.000000
1065,0.322520,-0.000000
1066,1.763778,-0.000000
1067,2.350537,0.000000
1068,3.478130,0.000000
1069,3.744723,0.000000
1070,3.006357,0.000000
1071,2.989249,0.000000
1072,4.239937,0.000000
1073,4.092456,0.000000
1074,3.553509,0.000000
1075,3.296268,0.000000
1076,3.107687,0.000000
1077,3.155965,0.000000
1078,2.909182,0.000000
1079,2.764783,0.000000
